83,1,270,91
67,0,267,84
81,16,276,79
77,6,281,90
78,18,263,89
63,11,280,78
71,13,272,81
80,3,275,85
83,8,274,91
77,4,268,83
71,3,275,84
79,17,279,76
64,13,275,84
75,8,272,83
79,0,280,82
77,16,267,80
64,8,268,89
64,13,271,73
63,9,272,84
64,13,277,78
79,11,279,77
66,8,268,91
80,8,271,87
80,9,266,87
73,8,275,89
80,12,275,91
73,17,273,88
84,8,271,87
70,11,272,80
82,16,276,84
80,12,268,91
81,4,279,87
79,11,268,78
76,14,274,81
85,0,272,86
67,16,266,79
70,13,264,80
67,10,276,86
81,2,282,91
82,6,271,75
80,6,267,79
70,11,275,78
79,3,272,76
87,13,268,80
73,4,266,91
82,10,277,82
85,16,275,80
73,16,277,78
72,4,282,76
73,6,281,75
82,12,270,78
77,10,271,78
80,6,263,87
64,19,263,89
83,0,272,84
74,10,276,86
72,6,273,88
68,0,270,90
83,9,265,77
87,16,274,80
84,14,271,78
89,0,276,82
73,12,264,91
80,2,277,87
78,12,275,78
84,3,277,86
89,12,272,79
84,4,281,93
86,3,267,79
86,15,274,80
83,16,280,77
80,12,279,81
77,17,274,84
80,2,277,76
88,10,275,85
90,12,276,78
78,11,273,90
81,16,271,93
82,15,274,91
77,16,272,78
76,4,279,92
75,12,279,90
93,0,267,78
82,15,277,76
83,15,264,84
71,16,266,91
74,10,279,85
85,8,266,79
89,16,268,80
81,0,275,85
82,18,273,82
78,8,272,79
78,8,270,93
88,8,266,93
77,8,274,81
75,13,270,81
76,11,267,80
91,8,270,75
89,8,268,91
88,2,266,75
88,0,281,92
84,7,275,85
81,9,270,91
91,9,272,84
72,0,281,80
82,4,281,91
72,2,269,81
87,2,272,75
84,4,281,81
86,12,279,93
79,1,272,90
76,11,278,86
91,11,274,84
84,13,280,82
87,8,272,85
88,0,266,79
88,6,267,78
78,7,279,80
76,4,282,83
74,8,268,83
89,16,274,79
75,12,268,91
74,19,273,82
87,16,274,82
84,6,275,91
82,0,273,77
84,0,271,85
86,12,271,89
83,17,280,88
76,9,271,91
81,4,266,94
88,2,277,94
88,6,282,87
77,0,267,80
82,3,279,89
79,15,276,82
79,2,268,84
92,16,272,90
78,10,265,80
71,1,277,87
76,0,270,95
89,1,270,83
75,0,277,88
78,9,267,81
80,2,275,97
72,0,277,85
76,10,278,96
91,16,274,87
76,10,275,89
77,14,272,80
80,12,265,93
86,1,280,81
82,7,275,84
83,11,264,90
84,12,275,86
80,10,267,78
89,17,267,88
85,13,271,90
69,13,266,91
67,1,266,79
67,15,272,80
87,0,276,82
72,0,279,84
80,4,276,83
73,6,279,83
66,2,272,83
77,13,270,83
74,11,267,81
86,12,271,91
70,1,275,91
83,0,276,88
79,8,272,84
90,11,268,78
82,15,268,80
75,16,274,91
78,13,267,85
83,15,273,88
77,8,270,95
89,16,278,84
80,4,263,91
74,12,274,79
84,18,264,90
93,7,267,84
77,10,268,92
76,12,263,78
91,14,269,88
75,12,263,92
83,14,280,90
84,4,282,82
88,6,283,79
76,10,274,85
87,16,280,84
84,12,268,79
82,6,283,85
75,5,265,94
87,0,270,90
78,13,265,96
73,4,266,84
76,3,275,80
78,11,268,83
76,4,265,83
84,7,267,85
70,15,278,78
75,16,274,79
79,0,272,92
79,17,272,92
85,10,269,78
83,16,272,88
86,6,271,94
84,6,267,81
83,1,268,87
77,2,277,91
72,19,275,80
87,0,268,80
70,15,279,83
87,15,280,80
71,11,281,90
87,13,268,80
79,16,274,87
75,12,270,81
70,0,271,80
76,17,279,80
82,12,267,77
71,11,266,80
82,4,263,81
70,12,277,77
66,0,274,84
71,7,281,82
83,2,270,81
83,0,275,79
77,0,273,82
77,3,277,84
91,17,276,84
83,12,274,87
76,7,282,93
80,10,281,93
72,15,277,92
69,0,266,88
82,0,278,89
87,1,273,84
67,17,273,88
73,2,275,91
76,11,280,83
83,1,276,89
75,13,266,81
87,5,265,89
83,11,267,88
66,6,277,78
81,9,276,79
83,16,268,78
72,4,265,93
80,1,270,79
87,5,275,80
68,7,273,75
83,11,268,84
75,16,273,84
81,4,268,84
87,0,276,84
71,4,268,79
66,12,270,91
79,11,277,90
77,12,278,89
87,0,280,88
89,0,277,88
83,12,278,80
80,12,263,93
89,15,272,88
72,6,269,91
84,0,278,87
87,16,275,88
67,16,268,78
77,10,278,82
86,11,268,79
69,1,268,90
67,0,280,76
71,12,274,88
81,4,279,76
73,4,282,75
80,6,269,91
81,4,273,77
74,2,277,92
76,15,275,87
73,0,273,89
84,12,271,76
66,15,265,89
66,8,268,78
67,11,268,88
80,9,270,79
71,0,279,88
72,14,279,89
72,15,271,88
67,13,276,89
75,0,268,80
79,0,272,77
77,1,273,84
83,5,280,80
79,14,274,79
76,3,273,86
70,17,274,90
82,8,272,91
74,4,273,85
81,4,281,90
74,4,281,88
72,4,271,79
77,13,271,91
68,6,283,74
81,10,270,91
80,12,268,91
74,0,266,77
64,0,267,82
74,15,272,76
67,7,280,76
70,1,281,83
62,7,280,89
76,7,281,86
70,15,280,84
75,2,276,89
67,12,275,89
75,10,277,84
68,3,281,92
68,17,272,90
77,10,270,91
74,11,280,89
65,16,272,93
68,7,267,92
68,6,277,93
77,5,268,90
69,18,281,82
81,9,268,92
72,2,265,91
66,12,275,83
72,7,263,89
76,7,273,86
76,18,273,89
83,16,273,79
77,2,281,94
68,3,272,80
73,7,274,90
77,8,279,84
71,5,277,94
79,5,276,95
82,16,268,95
78,4,275,93
76,10,282,89
70,11,275,78
78,1,282,80
65,2,265,93
80,4,270,77
79,15,270,80
79,0,267,91
76,15,278,85
59,3,272,82
74,12,276,84
62,15,264,85
64,2,272,91
70,12,268,95
71,17,281,91
81,11,276,79
76,6,279,77
77,0,263,91
62,2,266,81
80,12,268,87
68,0,273,92
74,8,272,78
75,3,267,89
73,6,264,79
65,15,278,78
57,16,272,78
73,12,266,93
59,17,272,88
61,2,266,79
76,8,263,80
66,12,279,80
69,0,278,76
60,4,272,86
76,12,266,89
74,9,279,92
75,13,266,82
69,13,270,77
76,2,281,77
78,7,273,87
66,12,268,86
73,8,268,91
72,8,272,84
62,7,269,83
77,4,281,83
77,11,269,81
81,13,272,84
78,16,268,78
72,4,267,85
74,2,275,77
68,3,279,83
70,13,275,83
80,12,268,91
62,9,281,89
63,17,282,80
66,16,278,82
65,12,275,76
77,16,280,80
72,12,267,93
70,3,265,93
64,6,275,76
69,8,266,93
79,16,273,84
69,14,276,76
69,3,266,83
59,12,277,87
72,6,267,90
72,3,271,87
65,3,265,77
64,7,276,88
68,6,281,90
66,7,263,83
76,4,281,88
62,7,277,87
68,10,275,75
69,4,268,78
59,17,274,88
58,17,282,82
66,5,265,89
61,12,268,87
67,8,270,87
77,9,280,84
71,5,282,85
60,8,270,79
74,2,276,86
73,3,266,78
61,16,274,79
72,3,277,91
68,14,281,85
73,16,267,79
66,7,263,77
70,3,281,80
76,7,281,88
77,8,271,78
72,12,270,77
64,19,267,77
64,0,278,79
83,17,272,80
83,12,267,81
83,9,281,80
65,8,270,75
75,0,281,78
63,0,271,91
76,0,281,81
75,8,282,89
76,4,267,93
74,8,272,93
68,10,271,81
62,19,276,91
61,1,276,91
73,12,269,91
74,10,281,85
66,19,274,88
73,13,267,78
62,8,267,93
74,1,268,86
74,1,281,88
68,0,268,75
64,7,276,84
75,0,275,84
71,8,276,85
59,11,277,88
67,8,278,87
69,1,275,93
80,4,271,85
80,2,270,79
71,1,276,78
61,11,270,87
72,10,263,91
76,11,270,79
62,13,271,91
72,2,273,82
62,4,266,77
69,16,274,78
73,10,268,87
70,0,270,78
66,16,268,76
78,16,274,80
77,11,274,80
79,15,267,84
81,10,279,78
64,6,268,78
71,8,272,84
64,5,268,82
74,16,266,78
65,12,265,83
59,13,281,80
77,8,270,78
73,9,276,78
75,8,275,84
63,2,272,77
58,17,279,89
77,9,277,88
62,3,281,91
58,5,270,91
77,3,267,84
59,13,265,85
63,0,276,88
62,3,267,74
68,0,263,87
72,4,267,81
73,4,281,86
73,4,279,77
73,12,267,91
62,19,264,84
68,8,272,82
77,8,277,80
78,17,280,89
71,16,277,82
67,12,268,81
60,14,273,79
68,14,263,79
68,6,282,75
59,7,276,77
62,6,278,79
61,16,275,82
64,9,268,80
55,0,267,85
56,1,267,82
56,0,279,74
60,6,263,74
60,14,269,77
57,16,268,84
67,12,263,79
60,19,263,87
73,9,272,80
62,12,281,78
56,7,271,91
54,16,264,79
73,11,275,80
